CAP;Comune;Abitanti;Denominazione;Indirizzo;Proprieta;ComplessoSportivo;CodiceTipologiaImpianto;ImpiantoCoperto: Si/No;Lunghezza;Larghezza;Altezza;ProfonditaMinima(Piscina);ProfonditaMassima(Piscina);SpogliatoiAtleti;ServiziDiversamenteAbili;SpogliatogliArbitri;NumeroSpettatori;ServiziIgieniciSpettatori;ServiziIgieniciSpettatoriDiversamenteAbili;AdeguatoNormeDiSicurezza;Illuminazione;Parcheggi;RealizzatoFunzionante: Si/No;RealizzatoFunzionanteOmologato: Si/No
;;;TENNIS  COMUNALE;S. MARIA DEL POZZO 208;COMUNE;;150;No;36;18;0;;;Si;;;0;;;;Si;;;No
80067;SORRENTO;17.429;IST. STATALE D'ARTE - F. GRANDI -;VICO I ROTA;PROVINCIA;;190;Si;24;12,15;5;;;Si;Si;;0;;;Si;Si;Si;;No
;;;ISTI, TECNICO COM, SAN PAOLO;P.zza DELLA VITTORIA 1;PROVINCIA;;190;Si;16,6;9;4,8;;;Si;;;0;;;Si;Si;Si;;No
;;;LICEO SCIENTIFICO 'G. SALVEMINI';VIA S.ANTONIO 3;PROVINCIA;;11;No;90;5;0;;;;;;0;;;Si;Si;Si;;No
;;;LICEO SCIENTIFICO 'G. SALVEMINI';VIA S.ANTONIO 3;PROVINCIA;;190;Si;24;15;8;;;Si;Si;;0;;;Si;Si;Si;;No
;;;LICEO SCIENTIFICO 'G. SALVEMINI';VIA S.ANTONIO 3;PROVINCIA;;190;No;26;18;0;;;;;;0;;;Si;Si;Si;;No
;;;ANGELINA LAURO -;VIA B. CAPASSO;COMUNE;;180;No;24;14,8;0;;;Si;Si;;0;;;;Si;;;No
;;;CAMPO SPORTIVO COMUNALE;VIA A. CALIFANO          7;COMUNE;Si;30;No;104;65;0;;;Si;Si;Si;2.500;Si;Si;Si;Si;Si;;Si
;;;CAMPO SPORTIVO COMUNALE;VIA A. CALIFANO          7;COMUNE;Si;320;No;38;18;0;;;Si;Si;Si;0;Si;Si;Si;Si;Si;;Si
;;;CAMPO SPORTIVO COMUNALE;VIA A. CALIFANO          7;COMUNE;Si;320;No;38;18;0;;;Si;;Si;400;Si;;Si;Si;Si;;No
;;;S.M.S. TASSO;VIA MARZIALE 18;COMUNE;;11;No;88,7;8;0;;;Si;;;0;;;Si;Si;Si;;No
;;;S.M.S. TASSO;VIA MARZIALE 18;COMUNE;;190;Si;15;9,1;6;;;Si;;;0;;;;Si;Si;;No
;;;S.M.S. TASSO;VIA MARZIALE 18;COMUNE;;190;Si;28;18;0;;;;;Si;0;;;Si;Si;Si;;No
;;;S.M.S. TASSO;VIA MARZIALE 18;COMUNE;;190;Si;29,5;18,35;10;;;Si;Si;Si;176;Si;Si;Si;Si;Si;;Si
;;;V. VENETO - CAPOLUOGO -;VIA VITTORIO VENETO   16;COMUNE;;190;Si;16;10;6;;;;;;0;;;;Si;;;
80040;STRIANO;7.668;CAMPO SPORTIVO COMUNAlE;MULITIELLO;COMUNE;;30;No;110;62,5;0;;;Si;;;300;;;;Si;;;No
;;;IST. COMP. D' AVINO;P.zza D'ANNA;COMUNE;;190;Si;25;10;7,5;;;Si;Si;;0;;;;Si;;;No
80040;TERZIGNO;15.997;CAMPO SPORTIVO COMUNALE;VECCHIA CAMPITELLI;COMUNE;;30;No;110;68;0;;;Si;Si;Si;1.200;Si;Si;;;;;Si
;;;S.M.S. GIUSTI;VIA S. ANTONIO 85;COMUNE;;190;Si;20;15;7;;;Si;Si;;0;;;Si;Si;;;No
80058;TORRE ANNUNZIATA;46.864;"IST. PROF. PER IL COMMERCIO"" A.GRAZIANI""";VIA SEPOLCRI 21;PROVINCIA;;190;Si;20;15;5;;;Si;Si;;0;Si;Si;Si;Si;Si;;No
;;;"IST.PROF.PER ARTIG. E IND. ""G. GALILEI""";VIA SEPOLCRI 21;PROVINCIA;;190;Si;23,4;13,3;7;;;Si;Si;;0;;;;Si;;;No
;;;"IST.TEC. ST.COMMER.E PER GEOM ""E.CESARO""";VIA A. VOLTA 2;PROVINCIA;;180;No;25;14;0;;;Si;;;0;;;Si;Si;Si;;No
;;;"IST.TEC. ST.COMMER.E PER GEOM ""E.CESARO""";VIA A. VOLTA 2;PROVINCIA;;190;Si;24;12;7;;;Si;Si;;0;;;Si;Si;Si;;No
;;;"IST.TEC. ST.COMMER.E PER GEOM ""E.CESARO""";VIA A. VOLTA 2;PROVINCIA;;180;No;24;12;0;;;;;;0;;;;Si;Si;;No
;;;"IST.TEC. ST.COMMER.E PER GEOM ""E.CESARO""";VIA A. VOLTA 2;PROVINCIA;;180;No;29;13;0;;;;;;0;;;;Si;Si;;No
;;;"IST.TEC.IND.STATALE ""G.MARCON""I";VIA ROMA TRAV. SIANO;PROVINCIA;;180;No;28;8;0;;;;;;0;;;;Si;Si;;No
;;;"1°C.D."" G.LEOPARDI""";VIA CAVOUR 26;COMUNE;;180;No;42;20;0;;;;;;0;;;;Si;;;No
;;;"1°C.D."" G.LEOPARDI""";VIA CAVOUR 26;COMUNE;;190;Si;25;12;7;;;;;;0;;;Si;Si;;;No
;;;2°C.D. -TAGLIAMONTE-;VIA TAGLIAMONTE 2;COMUNE;;190;Si;24;15;5;;;;;;0;;;Si;Si;;;No
;;;3°C.D. SC.ELEM.;VIA ROMA TRAV.VENETO;COMUNE;;180;No;40;25,4;0;;;;;;0;;;;Si;;;No
;;;4°C.D.- C.N. CESARO -;VIA VITTORIO VENETO 441;COMUNE;;190;Si;24;12;5;;;;;;0;;;;Si;;;No
;;;CAMPO COMUNALE GIRAUD;PIAZZA GARGIULO 2;COMUNE;;30;No;105;51;0;;;Si;Si;Si;9.000;Si;Si;Si;Si;;;Si
;;;CAMPO SPORTIVO ROVIGLIANO;VIA A. DE GASPERI 8;COMUNE;;30;No;102;59;0;;;Si;Si;Si;0;Si;Si;Si;Si;;;Si
;;;II CIRCOLO DIDATTICO;VIA ISONZIO;COMUNE;;190;Si;40;25;8;;;;;;0;;;;;Si;;No
;;;"L. CLASSICO  ""PLINIO SIGNORE""";VIA TAGLIAMONTE 13;COMUNE;;180;No;28;15;0;;;Si;Si;;0;;;;Si;Si;;No
;;;"L. CLASSICO  ""PLINIO SIGNORE""";VIA TAGLIAMONTE 13;COMUNE;;180;No;50,8;20;0;;;;Si;;0;;;;Si;Si;;No
;;;"L. CLASSICO  ""PLINIO SIGNORE""";VIA TAGLIAMONTE 13;COMUNE;;190;Si;28;15;8;;;Si;Si;;0;;;Si;Si;Si;;No
;;;"S,M.S.""PAOLO MARRONE""";VIA MULINI A VAPORE;COMUNE;;40;No;30,2;20;0;;;;;;0;;;;;;;No
;;;"S,M.S.""PAOLO MARRONE""";VIA MULINI A VAPORE;COMUNE;;190;Si;28,2;15,5;6,5;;;Si;Si;;0;;;Si;Si;;;No
;;;"S.M.S ""A. MANZONI""";VIA PARINI 78;COMUNE;;190;Si;22;12,5;4;;;Si;Si;;0;;;Si;Si;;;No
;;;"S.M.S. ""V.ALFIERI""";VIA GAMBARDELLA;COMUNE;;180;No;22;12;0;;;Si;Si;;0;;;;Si;;;No
;;;S.M.S. PARINI 6;VIA ROVIGLIANO 1;COMUNE;;40;No;62;49;0;;;Si;;;0;;;Si;Si;;;No
;;;S.M.S. PARINI 6;VIA ROVIGLIANO 1;COMUNE;;180;No;24;17;0;;;;;;0;Si;Si;Si;Si;Si;;No
;;;S.M.S. PARINI 6;VIA ROVIGLIANO 1;COMUNE;;180;No;26;19;0;;;Si;;;0;;;;Si;Si;;No
;;;S.M.S. PARINI 6;VIA ROVIGLIANO 1;COMUNE;;180;No;28;19;0;;;Si;;;0;;;Si;Si;Si;;No
;;;"S.M.S."" PASCOLI""";VIA TAGLIAMONTE 18;COMUNE;;180;No;18;10;0;;;;;;0;;;Si;Si;Si;;No
;;;"S.M.S."" PASCOLI""";VIA TAGLIAMONTE 18;COMUNE;;180;No;22;20;0;;;;;;0;;;;Si;Si;;No
;;;"S.M.S."" PASCOLI""";VIA TAGLIAMONTE 18;COMUNE;;190;Si;24;12;5;;;Si;;;0;;;Si;Si;Si;;No
80059;TORRE DEL GRECO;93.264;CIRCOLO NAUTICO;LARGO PORTO SALVO 1;STATO;Si;130;No;0;0;0;;;Si;;;0;;;;Si;Si;;No
;;;CIRCOLO NAUTICO;LARGO PORTO SALVO 1;STATO;Si;360;No;0;0;0;;;Si;;;0;;;;Si;Si;;No
;;;STADIO COMUNALE LIGUORI;VIA UNGHERIA 52;COMUNE;;30;No;108;68;0;;;Si;Si;Si;4.000;Si;Si;Si;;;;Si
;;;" LICEO SCIENT.""NOBEL""";VIA ALCIDE DE GASPARI;PROVINCIA;;180;No;22;13;0;;;Si;;;0;;;Si;Si;;;No
;;;" LICEO SCIENT.""NOBEL""";VIA ALCIDE DE GASPARI;PROVINCIA;;190;Si;30;18;7;;;Si;Si;;0;;;Si;Si;;;No
;;;"IST.TEC.COMM.GEOM.  ""E. PANTALEO""";VIA CIMAGLIA 96;PROVINCIA;;180;No;24;12,5;0;;;Si;Si;;0;;;;Si;;;No
;;;"IST.TEC.COMM.GEOM.  ""E. PANTALEO""";VIA CIMAGLIA 96;PROVINCIA;;180;No;24;14;0;;;;;;0;;;;Si;;;No
;;;"IST.TEC.COMM.GEOM.  ""E. PANTALEO""";VIA CIMAGLIA 96;PROVINCIA;;190;Si;28;14;6;;;Si;;;0;;;;Si;;;No
;;;"LICEO CLASSICO""G. DE BOTTIS""";VIALE CAMPANIA 1;PROVINCIA;;180;No;27;12;0;;;;;;0;;;;Si;Si;;No
;;;"LICEO CLASSICO""G. DE BOTTIS""";VIALE CAMPANIA 1;PROVINCIA;;190;Si;27;12;5;;;Si;;;0;;;Si;Si;Si;;No
;;; 3°CIR. - DON BOSCO -;VIA  VENEZIA 44;COMUNE;;180;No;28;17,5;0;;;;;;0;;;;Si;;;No
;;; 3°CIR. - DON BOSCO -;VIA  VENEZIA 44;COMUNE;;180;No;30;17;0;;;;;;0;;;;Si;;;No
;;; 3°CIR. - DON BOSCO -;VIA  VENEZIA 44;COMUNE;;190;Si;26,25;11,6;8;;;;;;0;;;Si;Si;;;No
;;; S.E.PANTALEO; VIA CAVALLO;COMUNE;;180;No;30;18;0;;;;;;0;;;;Si;;;No
;;; S.E.PANTALEO; VIA CAVALLO;COMUNE;;180;No;30;20;0;;;;;;0;;;;Si;;;No
;;;"IST. COMP. ""F.D'ASSISI""";VIALE CAMPANIA  1;COMUNE;;180;No;10;8;0;;;Si;;;0;;;;Si;Si;;No
;;;"IST. COMP. ""F.D'ASSISI""";VIALE CAMPANIA  1;COMUNE;;190;Si;24;12;5;;;;;;0;;;Si;Si;Si;;No
;;;S. ELEM. NICOLA GIAMPIETRO;VIA NAZIONALE 233;COMUNE;;180;No;24;12;0;;;;;;0;;;;;Si;;No
;;;S. ELEM. NICOLA GIAMPIETRO;VIA NAZIONALE 233;COMUNE;;190;Si;30;20;9;;;Si;;;0;;;Si;Si;Si;;No
;;;S.ELEM. NAZARIO SAURO;VIA CIRCUMVALLAZIONE 92;COMUNE;;180;No;24,5;12,3;0;;;;;;0;;;;Si;Si;;No
;;;"S.M.S. "" MON. M. SASSO""";VIA CESARE BATTISTI 29;COMUNE;;190;Si;12,3;9,8;4;;;;;;0;;;Si;Si;Si;;No
;;;"S.M.S. "" MON. M. SASSO""";VIA CESARE BATTISTI 29;COMUNE;;190;Si;13;10,5;4;;;;;;0;;;Si;Si;Si;;No
;;;"S.M.S. ""G.B.ANGIOLETTI""";VIA GIOVANNI SiXIII;COMUNE;;180;No;30;18;0;;;;;;0;;;;Si;Si;;No
;;;"S.M.S. ""G.B.ANGIOLETTI""";VIA GIOVANNI SiXIII;COMUNE;;190;Si;40;20;4,5;;;Si;;;0;;;Si;Si;Si;;No
;;;"S.M.S. ""G.B.ANGIOLETTI""";VIA GIOVANNI SiXIII;COMUNE;;190;Si;40;26;10;;;Si;Si;;0;;;Si;Si;Si;;No
;;;"S.M.S."" G. LEOPARDI""";VIALE DELLE MIMOSE;COMUNE;;180;No;22;13;0;;;;;;0;;;;;;;No
;;;"S.M.S."" G. LEOPARDI""";VIALE DELLE MIMOSE;COMUNE;;190;Si;30,5;18,2;7;;;Si;Si;;0;;;Si;Si;;;No
;;;S.M.S.BEATO VINCENZO ROMANO;VIA LOMBARDIA;COMUNE;;180;No;20;10;0;;;;;;0;;;Si;Si;;;No
;;;S.M.S.BEATO VINCENZO ROMANO;VIA LOMBARDIA;COMUNE;;190;Si;25;12;7;;;Si;;;0;;;Si;Si;;;No
;;;SCUOLA ELEMENTARE GIOVANNI MAZZA;VIA VITTORIO VENETO 34;COMUNE;;40;No;30;15;0;;;;;;0;;;;Si;;;No
;;;SCUOLA ELEMENTARE GIOVANNI MAZZA;VIA VITTORIO VENETO 34;COMUNE;;180;No;15;12;0;;;;;;0;;;;Si;;;No
;;;TENDOSTRUTTURA LA SALLE;VIA ALCIDE DE GASPERI 1;COMUNE;;190;Si;40;20;10;;;;;;0;;;;;;;
80040;TRECASE;3.341;CAMPETTO COMUNALE;VIA CARLO CATTANEO;COMUNE;;30;No;68;40;0;;;Si;;Si;200;Si;;;;;;No
;;;IST. COMP. S.M. D'ANGIO ;VIA  CATTANEO;COMUNE;;180;No;0;0;0;;;Si;Si;;0;;;;Si;Si;;No
;;;IST. COMP. S.M. D'ANGIO ;VIA  CATTANEO;COMUNE;;190;Si;30;20;8;;;Si;;;0;;;Si;Si;Si;;No
80030;TUFINO;3.240;CALCETTO COMUNALE;VIA NAZIONALE;COMUNE;;40;No;30;22;0;;;Si;;;0;;;;Si;;;No
;;;CENTRO SPORTIVO COMUNALE;VIA GARIBALDI;COMUNE;Si;40;No;32;19;0;;;Si;Si;Si;0;Si;;Si;Si;Si;;No
;;;CENTRO SPORTIVO COMUNALE;VIA GARIBALDI;COMUNE;Si;180;No;22;15;0;;;Si;;;0;;;Si;Si;Si;;No
;;;S.M.S. D'ARIENZO;VIA D. FERRONE 6;COMUNE;;40;No;36,8;18,3;0;;;Si;;;0;;;;Si;Si;;No
;;;S.M.S. D'ARIENZO;VIA D. FERRONE 6;COMUNE;;190;Si;27,5;15,9;8,5;;;Si;;Si;0;;;Si;Si;Si;;No
;;;STADIO COMUNALE;C.SO GARIBALDI;COMUNE;;30;No;96,5;48;0;;;Si;Si;Si;200;Si;Si;Si;Si;Si;;Si
;;;POLIVALENTE RIONE IACP;VIA REGGIA DI PONTICCHIO;COMUNE;;;NULL;;;;;;;;;;;;;;;;
80069;VICO EQUENSE;20.395;1°C.D. - CAPOLUOGO -;VIA SCONDUCCI 12;COMUNE;;190;Si;20;12,5;7;;;;;;0;;;Si;Si;;;No
;;;CAMPO SPORTIVO COMUNALE;VIA RASPOLO 6;COMUNE;;30;No;103;64,5;0;;;Si;;Si;500;Si;;;;;;No
;;;PALAZZETTO COMUNALE DELLO SPORT;VIA MADONELLE 5;COMUNE;;180;No;24;19;0;;;;;;0;;;;Si;Si;;No
;;;PALAZZETTO COMUNALE DELLO SPORT;VIA MADONELLE 5;COMUNE;;190;Si;32;22;7;;;Si;Si;Si;400;Si;Si;Si;Si;;;Si
;;;S.M.S. CAULINO;VIA R. BOSCO 535;COMUNE;;190;Si;24;10;5,5;;;;;;0;;;;Si;;;No
;;;S.M.S. SCARLATTI;VIA DEI TIGLI 10;COMUNE;;190;Si;20;8;5;;;;;;0;;;;Si;;;No
;;;CENTRO IPPICO STABIESE;VIA FATTORIA 6;ALTRI ENTI PUBBLICI;;261;No;50;20;0;;;;;;0;;;;Si;Si;;No
;;;CENTRO IPPICO STABIESE;VIA FATTORIA 6;ALTRI ENTI PUBBLICI;;261;No;100;60;0;;;;;;0;;;;Si;Si;;No
;;;"PALESTRA C/O S.M. ""SCARLATTI""";VIA SCONDUCI;COMUNE;;190;NULL;;;;;;;;;;;;;;;;
;;;POLIVALENTE C/O SCUOLA MEDIA ;FONTANELLE;COMUNE;;180;NULL;;;;;;;;;;;;;;;;
80010;VILLARICCA;30.465;CAMPO COMUNALE;CORSO ITALIA;COMUNE;;30;No;102;60;0;;;Si;Si;Si;0;Si;Si;Si;Si;Si;;Si
;;;II' SCUOLA MEDIA VILLARICCA;VIA L. DA VINCI;COMUNE;;150;Si;26,2;13,8;6;;;;;;0;;;;Si;;;No
;;;S.ELEM.GIANNI RODARI;VIA DELLA LIBERTA';COMUNE;;190;Si;32;18;6;;;;;;0;;;Si;Si;Si;;No
;;;SMS ADA NEGRI;VIA DELLA LIBERTA' 20;COMUNE;;190;Si;22;13;6;;;Si;;;0;;;Si;Si;Si;;No
80030;VISCIANO;4.726;CAMPO COMUNALE;CAMALDOLI;COMUNE;;30;No;100;80;0;;;Si;Si;Si;100;Si;Si;;Si;;;Si
;;;SCUOLA MEDIA STATALE,ROSSINI;TRAVERSA LANCELLOTTI;COMUNE;;190;Si;26;12;7;;;;;;0;;;Si;Si;Si;;No
80040;VOLLA;22.792;"C.D. ""VIA ROSSI""  succ.";VIA ROSSI;COMUNE;;180;No;25;15;0;;;;;;0;;;;Si;;;No
;;;CALCETTO - VIA GRAMSCI -;VIA A.GRAMSCI;COMUNE;;40;No;35;18;0;;;Si;;;0;;;;Si;Si;;No
;;;CAMPO SPORTIVO COMUNALE DI VOLLA;VIA S.GIORGIO;COMUNE;Si;30;No;130;80;0;;;Si;Si;Si;600;Si;Si;Si;Si;Si;;Si
;;;CAMPO SPORTIVO COMUNALE DI VOLLA;VIA S.GIORGIO;COMUNE;Si;40;No;75;45;0;;;Si;Si;Si;0;;;;Si;Si;;Si
;;;CENTRO  SPORTIVO CARDUCCI;VIA CARDUCCI;COMUNE;Si;180;No;40,25;20,5;0;;;Si;Si;;0;;;;Si;Si;;No
;;;CENTRO  SPORTIVO CARDUCCI;VIA CARDUCCI;COMUNE;Si;180;No;20;11;0;;;Si;Si;;0;;;;Si;Si;;No
;;;PARCO PANORAMA;VIA VERDI  P.co PANORAMA;COMUNE;;180;No;31;18;0;;;;;;0;;;;Si;Si;;No
;;;S. ELEM. - VIA MANZONI;VIA A.MANZONI 27;COMUNE;;190;Si;17,7;11,8;7;;;;;;0;;;Si;Si;Si;;No
;;;S. ELEM. DE CAROLIS;VIA DE CAROLIS;COMUNE;;190;Si;18,5;15;7;;;;;;0;;;Si;Si;Si;;No
;;;S. ELEM. -NAPOLI-;VIA NAPOLI;COMUNE;;190;Si;17,8;11,5;6,5;;;;;;0;;;Si;Si;;;No
;;;"S.M.S. ""M.SERAO""";VIA D. ALIGHIERI;COMUNE;;190;Si;27;15,3;6,5;;;Si;Si;;0;;;Si;Si;Si;;No
;;;"S.M.S.""G. FALCONE""  ";VIA FILICHITO;COMUNE;;190;Si;24,5;16,1;6,5;;;Si;Si;;0;;;Si;Si;Si;;No
84042;ACERNO;3.013;villaggio San Francesco;Via Roma;Pubblica;;30;No;100;57;;;;Si;;;200;Si;;Si;Si;Si;Si;Si
84042;;;Piscina;via Vella;Pubblica;;200;No;25;12,5;;1,5;1,5;Si;Si;Si;;Si;Si;Si;Si;Si;Si;No
84042;;;Palazzetto;via Vella;Pubblica;;320;Si;36,57;18,29;7;;;;;;;;;;;;Si;No
84042;;;Palazzetto: Pallacanestro;via Vella;Pubblica;;150;Si;28;15;7;;;;;;;;;;;;Si;No
;;;Pallavolo;;;;170;;;;;;;;;;;;;;;;;
84042;;;palestra scuola elementare;Via Duomo;Pubblica;;190;Si;20;10;4;;;;;;;;;;Si;;Si;Si
84042;;;palestra scuola media;via De Lucio;Pubblica;;190;Si;20;10;4;;;;;;;;;;Si;;Si;Si
84043;AGROPOLI;19.830;G. Landolfi: Calcio;Viale Europa;Pubblica;;30;No;100;55;;;;Si;;;;;;;;;No;No
84043;;;Raffaele Guariglia: Calcio e Atl. Leg;via Marrota;Pubblica;;20;No;110;60;;;;Si;;;900;;;;;Si;Si;No
84043;;;Tendostruttura;via Taverne;Pubblica;;150;Si;45;25;5;;;Si;;;200;;;;Si;Si;Si;No
84044;ALBANELLA;6.315;Matinella: Palestra;viale Mimose-loc. Matinella;Pubblica;;190;Si;60;30;8;;;Si;Si;;300;Si;Si;Si;Si;Si;Si;No
84044;;;Santa Sofia: Polivalente  All'aperto;loc. Santa Sofia;Pubblica;;180;No;40;20;;;;Si;Si;;2.000;Si;Si;Si;Si;Si;Si;No
84044;;;San Cesareo: Calcio;loc. San Cesareo;Pubblica;;30;No;110;60;;;;Si;;;200;;;;;Si;Si;Si
84040;ALFANO;1.305;Campo Sportivo Comunale;loc. Mancelli;Pubblica;;30;No;100;60;;;;Si;Si;;160;Si;Si;Si;;Si;Si;Si
84040;;;Campo di Calcetto: Calcio a 5;piazza Zermati;Pubblica;;40;No;46;22;;;;;Si;;;;;Si;Si;;Si;No
84040;;;Polivalente ;Via Fontana;Pubblica;;180;;;;;;;;;;;;;;;;;
84045;ALTAVILLA SILENTINA;6.724;Campo Sportivo Carillia: Calcio;loc. Borgo Carillia;Pubblica;;30;No;100;55;;;;Si;;;250;;;;;Si;Si;No
84045;;;Campo Sportivo San Francesco;via San Francesco;Pubblica;;30;No;90;50;;;;Si;Si;;500;Si;Si;Si;Si;Si;Si;No
84011;;;Palestra Fondo Fosco;Vettica d'Amalfi;Pubblica;;190;Si;40;23;5;;;Si;Si;;200;Si;Si;Si;Si;Si;Si;Si
84012;ANGRI;29.398;Stadio Comunale P. Novi;piazzale Novi;Pubblica;;30;No;100;60;;;;Si;Si;;3.000;Si;Si;Si;Si;Si;Si;Si
84012;;;Palestra Taverna;via Nazionale;Pubblica;;190;Si;40;20;7;;;;;;;;;;Si;;Si;Si
84012;;;Palestra Galvani;via Dante Alighieri;Pubblica;;190;Si;40;20;7;;;;;;200;Si;;;Si;Si;Si;Si
84012;;;Palestra L. Da Vinci;via Leonardo da Vinci;Pubblica;;190;Si;40;20;7;;;;;;50;Si;;;Si;Si;Si;Si
;AMALFI;;Palestra Comunale;Fondo fusco Via G. A. Riccia 44;Pubblica;;190;;;;;;;;;;;;;;;;;
;;;Cicolo Cannottieri M. Grande;Viale delle Regioni;;;90;;;;;;;;;;;;;;;;;
84020;AQUARA;1.799;Campo Sportivo Madonna del Piano;località Piano;Pubblica;;30;No;100;50;;;;Si;Si;;1.000;Si;Si;Si;Si;Si;Si;No
84096;ASCEA;5.392;Campo di calcio;loc: Patriarca;;;30;;;;;;;;;;;;;;;;;
;;;Polivalente ;Ascea;;;180;;;;;;;;;;;;;;;;;
;;;Palestra S.M.;Loc. Patriarca;;;190;;;;;;;;;;;;;;;;;
;;;Campo di calcetto;Fraz. Mandia;;;40;;;;;;;;;;;;;;;;;
84030;ATENA LUCANA;2.231;Campo di Calcio;loc. Braida;Pubblica;;30;No;100;55;;;;Si;Si;Si;200;Si;Si;Si;;Si;Si;Si
84010;ATRANI;965;impianto polivalente;via Carmine;Pubblica;;180;No;70;35;;;;Si;Si;Si;100;Si;Si;;Si;Si;Si;No
84010;;;Palestra comunale;Largo Europa;Pubblica;;190;;;;;;;;;;;;;;;;;
84031;AULETTA;2.475;Campo di calcio Roberto Tiri;località Pompeano;Pubblica;;30;No;110;55;;;;Si;Si;Si;800;Si;Si;Si;Si;Si;Si;No
84031;;;impianto sportivo polivalente;largo Braida;Pubblica;;180;No;44;22;;;;;Si;;300;Si;Si;Si;Si;Si;Si;No
84031;;;impianto sportivo polivalente;via provinciale;Pubblica;;180;No;26;14;;;;;Si;;;;;Si;Si;;Si;No
84081;BARONISSI;15.114;Campo di Calcio G. Figliolia;loc. Sava;Pubblica;;30;No;110;60;;;;Si;;Si;200;Si;;;Si;Si;Si;Si
84081;;;Campo Orignano: Poliv. all'aperto;loc. Orignano;Pubblica;;180;No;35;18;;;;Si;;;;;;;Si;;Si;No
84081;;;Palairno: Pallacanestro;loc. Sava;Pubblica;;150;Si;40;20;7;;;Si;;Si;300;Si;;Si;Si;Si;Si;Si
;;;Pallavolo;;;;170;;;;;;;;;;;;;;;;;
84091;BATTIPAGLIA;15.114;Campo di calcio Luigi Pastena;via D. Barassi;Pubblica;;30;No;105;65;;;;Si;;Si;2.500;Si;;;;Si;Si;No
84091;;;Campo di calcio Aversana;loc. Aversana;Pubblica;;30;No;100;60;;;;Si;;Si;;;;;;;Si;No
84091;;;Campo di Calcio S.Anna;via G. Gonzaga;Pubblica;;30;No;106;61;;;;Si;;Si;200;Si;;;Si;Si;Si;No
84091;;;Bruno Zauli: Pallacanestro;via Don Minzoni;Pubblica;;150;Si;28;15;7;;;Si;Si;Si;650;Si;Si;;Si;Si;Si;No
;;;Pallavolo;;;;170;;;;;;;;;;;;;;;;;
84091;;;Padre Pino Puglisi;via Vicinanza;Pubblica;;150;Si;28;15;7;;;Si;Si;Si;400;Si;Si;;Si;Si;Si;No
;;;Pallavolo;;;;170;;;;;;;;;;;;;;;;;
;;;Calcio a 5;;;;40;;;;;;;;;;;;;;;;;
84091;;;Tendostruttura;via Don Minzoni;Pubblica;;150;Si;28;15;7;;;Si;;Si;;;;;Si;;Si;No
;;;Pallavolo;;;;170;;;;;;;;;;;;;;;;;
84091;;;Luigi Pastena: Pallavolo;via D. Barassi;Pubblica;;170;Si;18;9;7;;;Si;;Si;;;;;Si;;Si;No
84092;BELLIZZI;12.552;COMPLESSO SPORTIVO;via Pescara;Pubblica;Si;;;;;;;;;;;;;;;;;;
;;;E. Berlinguer: Piscina;;;;200;Si;25,4;14;5;1,5;1,5;Si;;Si;350;Si;;Si;Si;Si;Si;Si
;;;Calcio a 5;;;;40;No;40;20;;;;Si;;Si;350;Si;;Si;Si;Si;Si;Si
;;;Pallacanestro;;;;150;Si;28;15;7;;;Si;;Si;350;Si;;Si;Si;Si;Si;Si
;;;Pallavolo;;;;170;;;;;;;;;;;;;;;;;
84092;;;COMPLESSO SPORTIVO;viale della Repubblica;Pubblica;Si;;;;;;;;;;;;;;;;;;
;;;Campo di calcio e Atl. Leggera;;;;20;No;105;68;;;;Si;Si;Si;;;;Si;Si;;Si;No
84020;BELLOSGUARDO;1.009;Stadio San Michele;Contrada Spinaddeo;Pubblica;;30;No;105;53;;;;Si;Si;Si;600;Si;Si;;;Si;Si;Si
84020;;;Campetto A. Pepe;P. Necropoli Lucana;Pubblica;;180;No;50;22;;;;;Si;;200;Si;Si;;;Si;Si;No
84020;;;Tennis San Michele;Contrada Spinaddeo;Pubblica;;320;No;36;18,5;;;;Si;Si;Si;250;Si;Si;Si;;Si;Si;No
84082;BRACIGLIANO;5.227;Scuola Media;via F. Filzi;Pubblica;;190;Si;40;20;10;;;Si;Si;;;;;Si;Si;;Si;Si
84082;;;Alfonso De Crescenzo;via Interpoderale;Pubblica;;30;No;100;60;;;;Si;Si;Si;500;Si;Si;Si;Si;Si;Si;Si
84021;BUCCINO;5.699;Polivalente all'aperto;via pescara;Pubblica;;180;No;40;20;;;;;Si;;;;;Si;Si;;Si;No
84021;;;Paolino Via;via santa maria;Pubblica;;30;No;100;60;;;;Si;Si;Si;;;;Si;Si;;Si;No
84021;;;Calcio a 5;via vittime 16/9/43;Pubblica;;40;No;40;20;;;;;Si;;;;;Si;Si;;Si;No
84032;BUONABITACOLO;2.576;COMPLESSO SPORTIVO;trav. G. Falcone;Pubblica;Si;;;;;;;;;;;;;;;;;;
;;;Saverio Orlando: Campo di calcio;;;;30;No;100,4;55,3;;;;Si;;Si;800;Si;;;;Si;Si;No
;;;Calcio a 5;;;;40;No;38;18;;;;Si;;Si;;;;;Si;;Si;No
;;;Tennis;;;;320;No;24;11;;;;Si;;Si;;;;;Si;;Si;No
;;;Polivalente all'aperto;;;;180;No;40;20;;;;Si;;Si;50;Si;;;Si;Si;Si;No
84032;;;COMPLESSO SPORTIVO;via P. Borsellino;Pubblica;Si;;;;;;;;;;;;;;;;;;
